,pc1,pc2,pc3,pc4,pc5
0,1.4474350090617674,0.3706852129498405,1.077610381990488,-0.22030252948684337,-0.09464039588949538
1,2.2995256959585997,1.0373737747205047,-0.6110718753730566,0.3037103512664907,-0.16210340370097928
2,0.957860644266002,-0.472800635329526,-0.3401964937873546,-0.013059753039564036,-0.010883414898906752
3,0.5256397591747196,-0.43287416969032033,0.3180124312873393,0.011222871200330671,-0.04735386934810813
4,-0.5604503232929517,0.34841049543040353,-0.28325040884142705,-0.07718034771089154,-0.03349681870291296
5,0.41179947023568264,-0.591866544433627,-0.09696095449023778,-0.03258081744466988,0.00828320197336446
6,-0.20397150127525265,-0.15748806145836505,-0.05052236980898625,0.00012836363541921973,-0.03524459312502983
7,0.40613973605981174,-0.6680030034321994,-0.005287877477980273,-0.025795916964828552,-0.01537435896259225
8,-0.1702358495436188,-0.2688576958371485,-0.04421969184313082,0.14984380349661414,-0.08066912326127053
9,-0.2090360522842555,0.278801441819631,-0.20151718935061508,0.013460877388635705,-0.039364359943680045
10,0.5429357261568211,-0.22278944177532473,-0.19997365417249446,-0.13009284923117326,0.021024687835547607
11,0.6279642089917502,-0.9260423610388224,0.24764555958282605,0.005083127223961496,-0.002684204380734733
12,-0.1308510913735322,-0.3713357278049418,-0.43351904843599764,0.0019786660348439324,-0.008468581395518968
13,0.10005970704797527,0.17753764387209744,-0.11542163624197302,-0.34793369608775393,0.04189069790518769
14,-0.9600484541178391,0.2770826298317608,0.43534715969474796,0.08253507566455248,-0.11107787010031038
15,0.13756809233911488,-0.5428075801536842,-0.007619398211355373,0.0979242625176572,-0.05371089104009417
16,0.5116246812717355,0.5550750959825478,0.08859940963660262,-0.19745485064710705,-0.03947997608102339
17,1.1422122915176371,0.12835028641635068,0.46982047860546255,0.11333484692650536,0.3805840007744648
18,-0.21350199050631335,-0.4707544297585873,0.2619906816385452,0.08866687615563475,-0.054913128912384625
19,-0.24847654610898723,-0.2973753179262838,-0.6434421095841573,-0.22568018736502737,0.0686682332613258
20,-0.039187842818405885,0.39634123215395184,-0.14962495434880557,-0.21655412003389238,-0.0008168556652300872
21,-1.2730028034717156,0.6678831535530763,0.2574307910463259,-0.18784443712396973,0.003942437607267658
22,-0.15294212752093164,0.13062229742029988,-0.3193963480544486,-0.0447885343591367,-0.027934186897145746
23,-0.5179958086181714,0.056703741346549166,0.46889318506234196,0.04850024161363318,-0.06512780961043114
24,0.19007098230400984,0.12669142011774287,-0.03983508341710267,-0.117204633869057,-0.026074708269294703
25,-1.062705885267957,0.03389598456301888,-0.08010358749818453,-0.1587715824165432,0.0018048269319410992
26,-0.9353936919446679,0.04909114051110018,0.19296642191331637,0.30920072809646254,0.10450924369008387
27,-0.2895637394328095,0.24425015019919746,0.0021871721630706033,0.5336648699644625,0.03579106814870501
28,-0.21080243658642187,0.06746518938149444,0.0837617067197728,0.057905147643863224,-0.08033178395318431
29,-0.03716721654402936,0.3622809116822677,-0.18321986428642345,0.000650917607560035,0.3815297422647598
30,-1.1095635387515435,-0.02981056045480155,-0.015426448287996586,0.05879374912575004,0.0084888351804752
31,-0.9759391049262199,0.14426372714179964,-0.08365638582911146,0.1186394802180828,-0.06676664143479469
