,Unnamed: 0,fft1,fft2,fft3,fft4,velocity1,velocity2,velocity3,velocity4,rolling1,rolling2,dwt1,dwt2,dwt3,dwt4,Label
231,231,-0.9951450387356928,-0.9951450387356928,-1.1477521421391308,-1.1477521421391308,-0.3749466179696062,-0.5174084639952392,-0.7625285853065863,-0.4782713644089865,-0.7245071350694793,-0.13821155808421906,1.1605921967785109,1.1808462809898008,1.1831053913791392,1.2968929837322132,1
232,232,-0.9554973812880174,-0.9554973812880174,-0.9724033574947778,-0.9724033574947778,-0.32337863925407623,-0.5174084639952392,-0.7625285853065863,-0.4782713644089865,-0.6590494343199398,-0.13821155808421906,1.1605921967785109,1.1808462809898008,1.1831053913791392,1.2968929837322132,1
233,233,1.0267919546835855,1.0267919546835855,-0.029473004029142037,-0.029473004029142037,-0.8003824423727284,-0.03656914534774797,-0.7625285853065863,-0.4782713644089865,-0.7446241589404959,0.2552255386481337,0.4497537455412383,0.5071375187119264,0.39890442123775055,0.530132551504245,1
234,234,-0.24962553178075034,-0.24962553178075034,-1.0858424858936946,-1.0858424858936946,-0.8261664317304933,-0.24264313905381565,0.0907160006602098,0.2771129950419003,0.8098028009392275,0.3035423750889489,-0.7861358344508372,-0.8803817178841711,-0.8461156756877541,-0.7866951473220498,1
235,235,0.02463941716764293,0.02463941716764293,0.7125801192546933,0.7125801192546933,-0.8648424157671408,-0.3800258015245274,-0.33590629232318825,-0.22647657792535755,0.40359366508215694,-0.2762596622008341,-0.04298654452096173,0.0018559470035205852,-0.06999925163029698,0.03840575257543829,1
236,236,0.4115137867455748,0.4115137867455748,0.020567546042524632,0.020567546042524632,-0.8648424157671408,-0.3800258015245274,-0.33590629232318825,-0.22647657792535755,0.2411100107393287,-0.11520354073144985,-0.04298654452096173,0.0018559470035205852,-0.06999925163029698,0.03840575257543829,1
237,237,-1.390529518579182,-1.390529518579182,-1.0146101250212418,-1.0146101250212418,-0.9035183998037882,-0.5174084639952392,-0.9758397317982854,-0.9818609373762442,0.6635675120306821,-0.7594280266089868,-0.6649701893535747,-0.7199748697227725,-0.8056929452680949,-0.8116982048947009,1
238,238,0.8773120620271566,0.8773120620271566,1.228603760189637,1.228603760189637,-0.6843544902627859,0.3068875108290315,1.370582879610404,1.5360869274600448,-0.1975958559863076,-0.644387939845141,1.1282813580859077,1.148764911357521,1.1911899374630706,1.0051906453846169,1
239,239,1.3821662722435073,1.3821662722435073,1.6939651667882565,1.6939651667882565,-0.6843544902627859,0.3068875108290315,1.370582879610404,1.5360869274600448,0.5335805885564195,0.4743769039332602,1.8229643899768777,1.8866364128999544,1.8945454467651408,1.8552946028547563,1
240,240,2.0821808228498684,2.0821808228498684,1.6598949861814167,1.6598949861814167,0.2438691266167533,-0.7234824577013068,-1.1891508782899844,-1.98904008331076,0.679815877464965,0.4197328627204333,1.5321668417434475,1.493639634904528,1.4903181425685492,1.3885708614986008,1
241,241,-1.0768761323639795,-1.0768761323639795,-0.2618724692621114,-0.2618724692621114,-0.7874904476938458,0.1008135171229638,0.9439605866270059,0.7807025680091579,0.11112308726506608,-0.05932692716043907,0.684007326062612,0.643483339649115,0.6091026194199776,0.621810429270632,1
