,support,itemsets
119,0.030303030303030304,"frozenset({'2.1i', '230m'})"
120,0.030303030303030304,"frozenset({'60o', '2.1i'})"
121,0.030303030303030304,"frozenset({'2.3i', '310o'})"
122,0.030303030303030304,"frozenset({'2.3i', '350m'})"
123,0.06060606060606061,"frozenset({'210m', '210o'})"
124,0.06060606060606061,"frozenset({'210o', '220m'})"
125,0.030303030303030304,"frozenset({'210o', '230m'})"
126,0.06060606060606061,"frozenset({'220o', '230m'})"
127,0.030303030303030304,"frozenset({'60o', '230m'})"
128,0.030303030303030304,"frozenset({'240o', '240m'})"
129,0.030303030303030304,"frozenset({'260m', '250o'})"
130,0.030303030303030304,"frozenset({'270m', '260o'})"
131,0.030303030303030304,"frozenset({'310o', '350m'})"
132,0.030303030303030304,"frozenset({'0.9i', '240o', '240m'})"
133,0.030303030303030304,"frozenset({'150o', '1.0i', '180m'})"
134,0.030303030303030304,"frozenset({'130m', '1.2i', '110o'})"
135,0.030303030303030304,"frozenset({'140o', '1.2i', '160m'})"
136,0.030303030303030304,"frozenset({'1.3i', '210o', '230m'})"
137,0.030303030303030304,"frozenset({'100o', '140m', '1.4i'})"
138,0.030303030303030304,"frozenset({'120m', '120o', '1.5i'})"
139,0.030303030303030304,"frozenset({'120o', '1.5i', '130m'})"
140,0.030303030303030304,"frozenset({'90o', '1.5i', '130m'})"
141,0.030303030303030304,"frozenset({'180o', '200m', '1.5i'})"
142,0.06060606060606061,"frozenset({'200m', '190o', '1.5i'})"
143,0.030303030303030304,"frozenset({'220o', '1.5i', '230m'})"
144,0.030303030303030304,"frozenset({'270m', '260o', '1.5i'})"
145,0.030303030303030304,"frozenset({'130m', '1.6i', '80o'})"
146,0.030303030303030304,"frozenset({'150o', '1.6i', '160m'})"
147,0.030303030303030304,"frozenset({'1.6i', '220o', '230m'})"
148,0.030303030303030304,"frozenset({'1.7i', '190m', '160o'})"
149,0.030303030303030304,"frozenset({'1.7i', '180m', '180o'})"
150,0.030303030303030304,"frozenset({'1.7i', '200m', '190o'})"
151,0.030303030303030304,"frozenset({'210m', '1.7i', '210o'})"
152,0.030303030303030304,"frozenset({'1.7i', '210o', '220m'})"
153,0.030303030303030304,"frozenset({'1.8i', '130o', '180m'})"
154,0.030303030303030304,"frozenset({'1.9i', '140o', '190m'})"
155,0.030303030303030304,"frozenset({'140o', '2.1i', '140m'})"
156,0.030303030303030304,"frozenset({'2.2i', '140o', '190m'})"
157,0.030303030303030304,"frozenset({'2.0i', '170o', '180m'})"
158,0.030303030303030304,"frozenset({'2.0i', '200m', '180o'})"
159,0.030303030303030304,"frozenset({'210m', '2.0i', '210o'})"
160,0.030303030303030304,"frozenset({'2.0i', '210o', '220m'})"
161,0.030303030303030304,"frozenset({'260m', '2.0i', '250o'})"
162,0.030303030303030304,"frozenset({'60o', '2.1i', '230m'})"
163,0.030303030303030304,"frozenset({'2.3i', '310o', '350m'})"
